team_name,player_name,position,slot_position,pro_team,injury_status,projected_total_points,slot_weight,weighted_projection
Fields Of Dreams,Ja'Marr Chase,WR,WR,CIN,ACTIVE,300.46,1.0,300.46
Fields Of Dreams,Ashton Jeanty,RB,RB,LV,ACTIVE,271.72,1.0,271.72
Fields Of Dreams,Drake London,WR,BE,ATL,ACTIVE,231.72,0.1,23.17
Fields Of Dreams,Malik Nabers,WR,WR,NYG,ACTIVE,227.12,1.0,227.12
Fields Of Dreams,Breece Hall,RB,RB,NYJ,ACTIVE,240.07,1.0,240.07
Fields Of Dreams,D'Andre Swift,RB,BE,CHI,ACTIVE,196.89,0.1,19.69
Fields Of Dreams,Jaylen Waddle,WR,BE,DEN,ACTIVE,199.56,0.1,19.96
Fields Of Dreams,David Montgomery,RB,FLEX,HOU,ACTIVE,174.65,1.0,174.65
Fields Of Dreams,Caleb Williams,QB,QB,CHI,DOUBTFUL,239.92,1.0,239.92
Fields Of Dreams,Tucker Kraft,TE,TE,GB,ACTIVE,142.36,1.0,142.36
Fields Of Dreams,Brian Thomas Jr.,WR,BE,JAX,ACTIVE,162.09,0.1,16.21
Fields Of Dreams,J.K. Dobbins,RB,BE,DEN,QUESTIONABLE,169.72,0.1,16.97
Fields Of Dreams,Quentin Johnston,WR,BE,LAC,ACTIVE,146.16,0.1,14.62
Fields Of Dreams,Matthew Stafford,QB,BE,LAR,ACTIVE,264.38,0.1,26.44
Fields Of Dreams,49ers D/ST,D/ST,D/ST,SF,NORMAL,88.22,1.0,88.22
Fields Of Dreams,Evan McPherson,K,K,CIN,ACTIVE,126.77,1.0,126.77
My Ball Zach Ertz,Jaxon Smith-Njigba,WR,WR,SEA,ACTIVE,305.62,1.0,305.62
My Ball Zach Ertz,James Cook III,RB,RB,BUF,ACTIVE,252.31,1.0,252.31
My Ball Zach Ertz,George Pickens,WR,FLEX,DAL,ACTIVE,208.12,1.0,208.12
My Ball Zach Ertz,Kyren Williams,RB,RB,LAR,ACTIVE,207.35,1.0,207.35
My Ball Zach Ertz,Tetairoa McMillan,WR,WR,CAR,ACTIVE,218.56,1.0,218.56
My Ball Zach Ertz,Drake Maye,QB,QB,NE,ACTIVE,287.44,1.0,287.44
My Ball Zach Ertz,Carnell Tate,WR,BE,TEN,ACTIVE,176.2,0.1,17.62
My Ball Zach Ertz,Jaylen Warren,RB,BE,PIT,ACTIVE,194.51,0.1,19.45
My Ball Zach Ertz,Michael Pittman Jr.,WR,IR,PIT,OUT,166.47,0.0,0.0
My Ball Zach Ertz,Kenny Gainwell,RB,BE,TB,ACTIVE,118.98,0.1,11.9
My Ball Zach Ertz,Texans D/ST,D/ST,BE,HOU,NORMAL,110.0,0.1,11.0
My Ball Zach Ertz,Tyler Loop,K,K,BAL,ACTIVE,130.77,1.0,130.77
My Ball Zach Ertz,Deebo Samuel Sr.,WR,BE,SF,ACTIVE,176.54,0.1,17.65
My Ball Zach Ertz,Jordyn Tyson,WR,IR,NO,INJURY_RESERVE,101.9,0.0,0.0
My Ball Zach Ertz,Bryce Young,QB,BE,CAR,ACTIVE,253.87,0.1,25.39
My Ball Zach Ertz,Chiefs D/ST,D/ST,D/ST,KC,NORMAL,89.67,1.0,89.67
My Ball Zach Ertz,Dalton Schultz,TE,TE,HOU,ACTIVE,139.44,1.0,139.44
My Ball Zach Ertz,Stefon Diggs,WR,BE,WSH,ACTIVE,165.53,0.1,16.55
 Duuvall Jags,Jonathan Taylor,RB,RB,IND,ACTIVE,319.66,1.0,319.66
 Duuvall Jags,CeeDee Lamb,WR,WR,DAL,ACTIVE,260.93,1.0,260.93
 Duuvall Jags,Jeremiyah Love,RB,RB,ARI,ACTIVE,201.01,1.0,201.01
 Duuvall Jags,Nico Collins,WR,IR,HOU,OUT,231.66,0.0,0.0
 Duuvall Jags,Colston Loveland,TE,TE,CHI,ACTIVE,148.0,1.0,148.0
 Duuvall Jags,Lamar Jackson,QB,QB,BAL,ACTIVE,312.13,1.0,312.13
 Duuvall Jags,Jadarian Price,RB,FLEX,SEA,QUESTIONABLE,166.72,1.0,166.72
 Duuvall Jags,Jameson Williams,WR,BE,DET,ACTIVE,167.21,0.1,16.72
 Duuvall Jags,TreVeyon Henderson,RB,BE,NE,ACTIVE,162.79,0.1,16.28
 Duuvall Jags,Sam LaPorta,TE,BE,DET,ACTIVE,172.28,0.1,17.23
 Duuvall Jags,Michael Wilson,WR,BE,ARI,ACTIVE,170.66,0.1,17.07
 Duuvall Jags,MarShawn Lloyd,RB,BE,GB,ACTIVE,80.06,0.1,8.01
 Duuvall Jags,Justin Herbert,QB,BE,LAC,ACTIVE,238.06,0.1,23.81
 Duuvall Jags,Matthew Golden,WR,WR,GB,ACTIVE,166.24,1.0,166.24
 Duuvall Jags,Cameron Dicker,K,K,LAC,ACTIVE,133.26,1.0,133.26
 Duuvall Jags,Eagles D/ST,D/ST,D/ST,PHI,NORMAL,92.38,1.0,92.38
 Duuvall Jags,Xavier Worthy,WR,BE,KC,ACTIVE,165.41,0.1,16.54
Koreatown Chopsticks,Amon-Ra St. Brown,WR,WR,DET,ACTIVE,305.15,1.0,305.15
Koreatown Chopsticks,Saquon Barkley,RB,RB,PHI,QUESTIONABLE,251.91,1.0,251.91
Koreatown Chopsticks,Kenneth Walker III,RB,RB,KC,ACTIVE,294.43,1.0,294.43
Koreatown Chopsticks,Josh Allen,QB,QB,BUF,ACTIVE,344.2,1.0,344.2
Koreatown Chopsticks,Ladd McConkey,WR,BE,LAC,ACTIVE,193.1,0.1,19.31
Koreatown Chopsticks,Bhayshul Tuten,RB,FLEX,JAX,ACTIVE,165.61,1.0,165.61
Koreatown Chopsticks,Terry McLaurin,WR,BE,WSH,ACTIVE,181.49,0.1,18.15
Koreatown Chopsticks,Brandon Aubrey,K,K,DAL,ACTIVE,149.16,1.0,149.16
Koreatown Chopsticks,Kyle Pitts Sr.,TE,BE,ATL,ACTIVE,148.69,0.1,14.87
Koreatown Chopsticks,Jonathon Brooks,RB,BE,CAR,DOUBTFUL,105.56,0.1,10.56
Koreatown Chopsticks,Travis Kelce,TE,TE,KC,ACTIVE,185.05,1.0,185.05
Koreatown Chopsticks,Broncos D/ST,D/ST,BE,DEN,NORMAL,105.09,0.1,10.51
Koreatown Chopsticks,Blake Corum,RB,BE,LAR,ACTIVE,131.17,0.1,13.12
Koreatown Chopsticks,Chris Godwin Jr.,WR,WR,TB,ACTIVE,138.05,1.0,138.05
Koreatown Chopsticks,Brock Purdy,QB,BE,SF,ACTIVE,283.52,0.1,28.35
Koreatown Chopsticks,Steelers D/ST,D/ST,D/ST,PIT,NORMAL,99.36,1.0,99.36
Mr Mahomo ,Bijan Robinson,RB,RB,ATL,ACTIVE,300.96,1.0,300.96
Mr Mahomo ,De'Von Achane,RB,RB,MIA,ACTIVE,292.11,1.0,292.11
Mr Mahomo ,A.J. Brown,WR,IR,NE,INJURY_RESERVE,165.47,0.0,0.0
Mr Mahomo ,Garrett Wilson,WR,WR,NYJ,ACTIVE,216.84,1.0,216.84
Mr Mahomo ,Javonte Williams,RB,FLEX,DAL,ACTIVE,236.45,1.0,236.45
Mr Mahomo ,Davante Adams,WR,WR,LAR,ACTIVE,202.98,1.0,202.98
Mr Mahomo ,Jayden Daniels,QB,QB,WSH,DOUBTFUL,211.81,1.0,211.81
Mr Mahomo ,George Kittle,TE,TE,SF,ACTIVE,184.13,1.0,184.13
Mr Mahomo ,Marvin Harrison Jr.,WR,BE,ARI,ACTIVE,106.76,0.1,10.68
Mr Mahomo ,Tony Pollard,RB,BE,TEN,ACTIVE,153.33,0.1,15.33
Mr Mahomo ,Christian Watson,WR,BE,GB,ACTIVE,205.03,0.1,20.5
Mr Mahomo ,Aaron Jones Sr.,RB,BE,MIN,ACTIVE,172.67,0.1,17.27
Mr Mahomo ,Jordan Addison,WR,BE,MIN,ACTIVE,161.35,0.1,16.14
Mr Mahomo ,Jason Myers,K,K,SEA,ACTIVE,139.44,1.0,139.44
Mr Mahomo ,Jake Ferguson,TE,BE,DAL,ACTIVE,130.98,0.1,13.1
Mr Mahomo ,Buccaneers D/ST,D/ST,D/ST,TB,NORMAL,68.56,1.0,68.56
Mr Mahomo ,Patrick Mahomes,QB,BE,KC,ACTIVE,274.91,0.1,27.49
Renfrow v Wade,Christian McCaffrey,RB,RB,SF,ACTIVE,292.73,1.0,292.73
Renfrow v Wade,Justin Jefferson,WR,WR,MIN,ACTIVE,278.19,1.0,278.19
Renfrow v Wade,Derrick Henry,RB,RB,BAL,ACTIVE,267.68,1.0,267.68
Renfrow v Wade,Rashee Rice,WR,WR,KC,ACTIVE,185.37,1.0,185.37
Renfrow v Wade,Zay Flowers,WR,BE,BAL,OUT,228.61,0.1,22.86
Renfrow v Wade,Tyler Warren,TE,TE,IND,ACTIVE,177.47,1.0,177.47
Renfrow v Wade,Quinshon Judkins,RB,BE,CLE,ACTIVE,189.94,0.1,18.99
Renfrow v Wade,Rome Odunze,WR,BE,CHI,ACTIVE,156.6,0.1,15.66
Renfrow v Wade,Jalen Hurts,QB,QB,PHI,ACTIVE,287.76,1.0,287.76
Renfrow v Wade,DK Metcalf,WR,BE,PIT,ACTIVE,165.68,0.1,16.57
Renfrow v Wade,Rico Dowdle,RB,BE,PIT,QUESTIONABLE,151.61,0.1,15.16
Renfrow v Wade,Dallas Goedert,TE,FLEX,PHI,DOUBTFUL,162.71,1.0,162.71
Renfrow v Wade,Jaxson Dart,QB,BE,NYG,ACTIVE,292.25,0.1,29.22
Renfrow v Wade,Ravens D/ST,D/ST,D/ST,BAL,NORMAL,110.79,1.0,110.79
Renfrow v Wade,Jake Bates,K,K,DET,ACTIVE,130.61,1.0,130.61
Renfrow v Wade,Jacory Croskey-Merritt,RB,BE,WSH,ACTIVE,139.54,0.1,13.95
The Godfather,Jahmyr Gibbs,RB,RB,DET,ACTIVE,379.44,1.0,379.44
The Godfather,Omarion Hampton,RB,RB,LAC,ACTIVE,219.29,1.0,219.29
The Godfather,Brock Bowers,TE,IR,LV,OUT,202.93,0.0,0.0
The Godfather,DeVonta Smith,WR,WR,PHI,ACTIVE,230.64,1.0,230.64
The Godfather,Emeka Egbuka,WR,BE,TB,ACTIVE,194.18,0.1,19.42
The Godfather,Tee Higgins,WR,BE,CIN,ACTIVE,201.73,0.1,20.17
The Godfather,Cam Skattebo,RB,FLEX,NYG,ACTIVE,211.79,1.0,211.79
The Godfather,Joe Burrow,QB,QB,CIN,ACTIVE,273.6,1.0,273.6
The Godfather,Mike Evans,WR,WR,SF,QUESTIONABLE,179.37,1.0,179.37
The Godfather,Courtland Sutton,WR,BE,DEN,ACTIVE,167.34,0.1,16.73
The Godfather,Josh Jacobs,RB,BE,GB,DAY_TO_DAY,167.71,0.1,16.77
The Godfather,Seahawks D/ST,D/ST,D/ST,SEA,NORMAL,110.59,1.0,110.59
The Godfather,Alec Pierce,WR,BE,IND,QUESTIONABLE,156.67,0.1,15.67
The Godfather,Kyle Monangai,RB,BE,CHI,ACTIVE,129.63,0.1,12.96
The Godfather,Eddy Pineiro,K,K,SF,ACTIVE,138.26,1.0,138.26
The Godfather,Isaiah Likely,TE,BE,NYG,ACTIVE,174.57,0.1,17.46
The Godfather,Dalton Kincaid,TE,TE,BUF,ACTIVE,171.82,1.0,171.82
Last-a-Minutemen,Puka Nacua,WR,BE,LAR,OUT,315.94,0.1,31.59
Last-a-Minutemen,Chase Brown,RB,RB,CIN,ACTIVE,264.43,1.0,264.43
Last-a-Minutemen,Trey McBride,TE,TE,ARI,ACTIVE,248.27,1.0,248.27
