team,week,points_for,points_against,win,opponent
 Duuvall Jags,1,114.46,129.86,0,Fields Of Dreams
 Duuvall Jags,2,107.9,91.84,1,Mr Mahomo 
 Duuvall Jags,3,107.9,91.84,1,Mr Mahomo 
 Duuvall Jags,4,107.9,91.84,1,Mr Mahomo 
 Duuvall Jags,5,107.9,91.84,1,Mr Mahomo 
 Duuvall Jags,6,107.9,91.84,1,Mr Mahomo 
 Duuvall Jags,7,107.9,91.84,1,Mr Mahomo 
 Duuvall Jags,8,107.9,91.84,1,Mr Mahomo 
 Duuvall Jags,9,107.9,91.84,1,Mr Mahomo 
 Duuvall Jags,10,107.9,91.84,1,Mr Mahomo 
 Duuvall Jags,11,107.9,91.84,1,Mr Mahomo 
 Duuvall Jags,12,107.9,91.84,1,Mr Mahomo 
 Duuvall Jags,13,107.9,91.84,1,Mr Mahomo 
 Duuvall Jags,14,107.9,91.84,1,Mr Mahomo 
 Duuvall Jags,15,107.9,91.84,1,Mr Mahomo 
Fields Of Dreams,1,129.86,114.46,1, Duuvall Jags
Fields Of Dreams,2,87.62,175.92,0,Koreatown Chopsticks
Fields Of Dreams,3,87.62,175.92,0,Koreatown Chopsticks
Fields Of Dreams,4,87.62,175.92,0,Koreatown Chopsticks
Fields Of Dreams,5,87.62,175.92,0,Koreatown Chopsticks
Fields Of Dreams,6,87.62,175.92,0,Koreatown Chopsticks
Fields Of Dreams,7,87.62,175.92,0,Koreatown Chopsticks
Fields Of Dreams,8,87.62,175.92,0,Koreatown Chopsticks
Fields Of Dreams,9,87.62,175.92,0,Koreatown Chopsticks
Fields Of Dreams,10,87.62,175.92,0,Koreatown Chopsticks
Fields Of Dreams,11,87.62,175.92,0,Koreatown Chopsticks
Fields Of Dreams,12,87.62,175.92,0,Koreatown Chopsticks
Fields Of Dreams,13,87.62,175.92,0,Koreatown Chopsticks
Fields Of Dreams,14,87.62,175.92,0,Koreatown Chopsticks
Fields Of Dreams,15,87.62,175.92,0,Koreatown Chopsticks
Koreatown Chopsticks,1,141.96,132.46,1,Mr Mahomo 
Koreatown Chopsticks,2,175.92,87.62,1,Fields Of Dreams
Koreatown Chopsticks,3,175.92,87.62,1,Fields Of Dreams
Koreatown Chopsticks,4,175.92,87.62,1,Fields Of Dreams
Koreatown Chopsticks,5,175.92,87.62,1,Fields Of Dreams
Koreatown Chopsticks,6,175.92,87.62,1,Fields Of Dreams
Koreatown Chopsticks,7,175.92,87.62,1,Fields Of Dreams
Koreatown Chopsticks,8,175.92,87.62,1,Fields Of Dreams
Koreatown Chopsticks,9,175.92,87.62,1,Fields Of Dreams
Koreatown Chopsticks,10,175.92,87.62,1,Fields Of Dreams
Koreatown Chopsticks,11,175.92,87.62,1,Fields Of Dreams
Koreatown Chopsticks,12,175.92,87.62,1,Fields Of Dreams
Koreatown Chopsticks,13,175.92,87.62,1,Fields Of Dreams
Koreatown Chopsticks,14,175.92,87.62,1,Fields Of Dreams
Koreatown Chopsticks,15,175.92,87.62,1,Fields Of Dreams
Last-a-Minutemen,1,129.6,109.82,1,My Ball Zach Ertz
Last-a-Minutemen,2,147.36,105.06,1,Renfrow v Wade
Last-a-Minutemen,3,147.36,105.06,1,Renfrow v Wade
Last-a-Minutemen,4,147.36,105.06,1,Renfrow v Wade
Last-a-Minutemen,5,147.36,105.06,1,Renfrow v Wade
Last-a-Minutemen,6,147.36,105.06,1,Renfrow v Wade
Last-a-Minutemen,7,147.36,105.06,1,Renfrow v Wade
Last-a-Minutemen,8,147.36,105.06,1,Renfrow v Wade
Last-a-Minutemen,9,147.36,105.06,1,Renfrow v Wade
Last-a-Minutemen,10,147.36,105.06,1,Renfrow v Wade
Last-a-Minutemen,11,147.36,105.06,1,Renfrow v Wade
Last-a-Minutemen,12,147.36,105.06,1,Renfrow v Wade
Last-a-Minutemen,13,147.36,105.06,1,Renfrow v Wade
Last-a-Minutemen,14,147.36,105.06,1,Renfrow v Wade
Last-a-Minutemen,15,147.36,105.06,1,Renfrow v Wade
Mr Mahomo ,1,132.46,141.96,0,Koreatown Chopsticks
Mr Mahomo ,2,91.84,107.9,0, Duuvall Jags
Mr Mahomo ,3,91.84,107.9,0, Duuvall Jags
Mr Mahomo ,4,91.84,107.9,0, Duuvall Jags
Mr Mahomo ,5,91.84,107.9,0, Duuvall Jags
Mr Mahomo ,6,91.84,107.9,0, Duuvall Jags
Mr Mahomo ,7,91.84,107.9,0, Duuvall Jags
Mr Mahomo ,8,91.84,107.9,0, Duuvall Jags
Mr Mahomo ,9,91.84,107.9,0, Duuvall Jags
Mr Mahomo ,10,91.84,107.9,0, Duuvall Jags
Mr Mahomo ,11,91.84,107.9,0, Duuvall Jags
Mr Mahomo ,12,91.84,107.9,0, Duuvall Jags
Mr Mahomo ,13,91.84,107.9,0, Duuvall Jags
Mr Mahomo ,14,91.84,107.9,0, Duuvall Jags
Mr Mahomo ,15,91.84,107.9,0, Duuvall Jags
My Ball Zach Ertz,1,109.82,129.6,0,Last-a-Minutemen
My Ball Zach Ertz,2,128.52,130.58,0,The Godfather
My Ball Zach Ertz,3,128.52,130.58,0,The Godfather
My Ball Zach Ertz,4,128.52,130.58,0,The Godfather
My Ball Zach Ertz,5,128.52,130.58,0,The Godfather
My Ball Zach Ertz,6,128.52,130.58,0,The Godfather
My Ball Zach Ertz,7,128.52,130.58,0,The Godfather
My Ball Zach Ertz,8,128.52,130.58,0,The Godfather
My Ball Zach Ertz,9,128.52,130.58,0,The Godfather
My Ball Zach Ertz,10,128.52,130.58,0,The Godfather
My Ball Zach Ertz,11,128.52,130.58,0,The Godfather
My Ball Zach Ertz,12,128.52,130.58,0,The Godfather
My Ball Zach Ertz,13,128.52,130.58,0,The Godfather
My Ball Zach Ertz,14,128.52,130.58,0,The Godfather
My Ball Zach Ertz,15,128.52,130.58,0,The Godfather
Renfrow v Wade,1,166.22,136.36,1,The Godfather
Renfrow v Wade,2,105.06,147.36,0,Last-a-Minutemen
Renfrow v Wade,3,105.06,147.36,0,Last-a-Minutemen
Renfrow v Wade,4,105.06,147.36,0,Last-a-Minutemen
Renfrow v Wade,5,105.06,147.36,0,Last-a-Minutemen
Renfrow v Wade,6,105.06,147.36,0,Last-a-Minutemen
Renfrow v Wade,7,105.06,147.36,0,Last-a-Minutemen
Renfrow v Wade,8,105.06,147.36,0,Last-a-Minutemen
Renfrow v Wade,9,105.06,147.36,0,Last-a-Minutemen
Renfrow v Wade,10,105.06,147.36,0,Last-a-Minutemen
Renfrow v Wade,11,105.06,147.36,0,Last-a-Minutemen
Renfrow v Wade,12,105.06,147.36,0,Last-a-Minutemen
Renfrow v Wade,13,105.06,147.36,0,Last-a-Minutemen
Renfrow v Wade,14,105.06,147.36,0,Last-a-Minutemen
Renfrow v Wade,15,105.06,147.36,0,Last-a-Minutemen
The Godfather,1,136.36,166.22,0,Renfrow v Wade
The Godfather,2,130.58,128.52,1,My Ball Zach Ertz
The Godfather,3,130.58,128.52,1,My Ball Zach Ertz
The Godfather,4,130.58,128.52,1,My Ball Zach Ertz
The Godfather,5,130.58,128.52,1,My Ball Zach Ertz
The Godfather,6,130.58,128.52,1,My Ball Zach Ertz
The Godfather,7,130.58,128.52,1,My Ball Zach Ertz
The Godfather,8,130.58,128.52,1,My Ball Zach Ertz
The Godfather,9,130.58,128.52,1,My Ball Zach Ertz
The Godfather,10,130.58,128.52,1,My Ball Zach Ertz
The Godfather,11,130.58,128.52,1,My Ball Zach Ertz
The Godfather,12,130.58,128.52,1,My Ball Zach Ertz
The Godfather,13,130.58,128.52,1,My Ball Zach Ertz
The Godfather,14,130.58,128.52,1,My Ball Zach Ertz
The Godfather,15,130.58,128.52,1,My Ball Zach Ertz
